日付,できごと,関連ポケモン,関連リンク,プロパティ
2011/4/21,タイピングDS発売日,,https://www.pokemon.co.jp/ex/typing/,
2011/7/16,白黒の英雄上映開始日,ゴルーグ,https://www.pokemon-movie.jp/history/history2011/,
2011/11/12,ポケパーク2発売日,ツタージャ,https://www.pokemon.co.jp/ex/pokepark2/,
2012/3/17,ポケナガの野望発売日,レックウザ,https://www.pokemon.co.jp/ex/ranse/,
2012/6/23,BW2発売日,ブラックキュレム,https://www.pokemon.co.jp/ex/b2w2/,
2012/6/23,ARサーチャー発売日,,https://www.pokemon.co.jp/ex/ar_searcher/,
2012/7/12,トレッタ稼働開始日,,https://www.takaratomy-arts.co.jp/specials/pokemontretta/index.html,
2012/7/14,全国図鑑PRO発売日,メロエッタ,https://www.pokemon.co.jp/ex/zenkokuzukan_pro/,
2012/7/14,聖剣士ケルディオ上映開始日,ケルディオ(かくごのすがた),https://www.pokemon-movie.jp/history/history2012/,
2012/7/28,3DS LL発売日,,https://www.nintendo.co.jp/hardware/3dsseries/3dsll/index.html,
2012/11/23,マグナゲート発売日,サザンドラ,https://www.pokemon.co.jp/ex/dungeon_magnagate/,
2012/12/8,WiiU発売日,,https://www.nintendo.co.jp/hardware/wiiu/index.html,
2013/4/24,スクランブルU発売日,アルセウス,https://www.pokemon.co.jp/ex/scrambleU/,
2013/7/13,神速のゲノセクト上映開始日,ゲノセクト,https://www.pokemon-movie.jp/history/history2013/,
2013/10/6,ゲット☆TV放送開始日,キモリ,https://www.tv-tokyo.co.jp/anime/poke_tele/index2.html,
2013/10/12,XY発売日,メガガルーラ,https://www.pokemon.co.jp/ex/xy/,
2014/3/12,バトルトローゼ発売日,,https://www.pokemon.co.jp/ex/battletrozei/,
2014/6/19,アートアカデミー発売日,ドーブル,https://www.nintendo.co.jp/3ds/bpcj/,
2014/7/19,破壊の繭上映開始日,イベルタル,https://www.pokemon-movie.jp/history/history2014/,
2014/8/10,ヤドンの日,ヤドン,https://www.pokemon.jp/special/yadon_paradise/,記念日
2014/8/17,パチリスさん記念日,パチリス,https://www.inside-games.jp/article/2014/09/03/80155.html,
2014/9/13,スマブラfor発売日,ゲッコウガ,https://www.smashbros.com/wiiu-3ds/jp/,
2014/10/11,New3DS発売日,,https://www.nintendo.co.jp/hardware/3dsseries/new3ds/index.html,
2014/11/21,ORAS発売日,ゴニョニョ,https://www.pokemon.co.jp/ex/oras/,
2015/2/15,ポケモンスタイル配信開始日,,https://www.apppokemon.com/style/,
2015/2/18,ポケとる発売日,,https://www.pokemon.co.jp/ex/poketoru/,
2015/4/8,みんなのスクランブル発売日,メガレックウザ,https://www.pokemon.co.jp/ex/m-scramble/,
2015/7/16,ポッ拳稼働開始日,テールナー,http://www.pokkentournament.jp,
2015/7/18,光輪の超魔神上映開始日,フーパ,https://www.pokemon-movie.jp/history/history2015/,
2015/9/17,超不思議のダンジョン発売日,コノハナ,https://www.pokemon.co.jp/ex/cho_dungeon/,
2015/10/4,ポケんち放送開始日,オニゴーリ,https://www.tv-tokyo.co.jp/anime/pokenchi/,
2016/2/16,ポケモンセンターキミんち支店開設日,ポリゴン2,https://www.pokemoncenter-online.com,
2016/2/27,初代VC発売日,ケンタロス,https://www.pokemon.co.jp/ex/VCAMAP/,
2016/4/12,コマスター配信開始日,オニスズメ,https://www.pokemon-comaster.jp,
2016/7/7,ガオーレ稼働開始日,,https://www.takaratomy-arts.co.jp/specials/pokemongaole/,
2016/7/16,ボルケニオン上映開始日,マギアナ,https://www.pokemon-movie.jp/history/history2016/,
2016/7/22,ポケGO配信開始日,メルメタル ,https://www.pokemongo.jp,
2016/9/15,2DS発売日,,https://www.nintendo.co.jp/hardware/3dsseries/2ds/index.html,
2016/11/18,サンムーン発売日,コスモッグ,https://www.pokemon.co.jp/ex/sun_moon/,
2017/3/3,Switch発売日,,https://www.nintendo.co.jp/hardware/switch/,
2017/7/13,New2DS発売日,,https://www.nintendo.co.jp/hardware/3dsseries/new2dsll/index.html,
2017/7/15,キミにきめた上映開始日,マーシャドー,https://www.pokemon-movie.jp/history/history2017/,
2017/9/22,金銀VC発売日,カビゴン,https://www.pokemon.co.jp/ex/VCKG/,
2017/11/17,USUM発売日,ウルトラネクロズマ,https://www.pokemon.co.jp/ex/usum/,
2018/1/24,P-Sports放送開始日,,https://ja.wikipedia.org/wiki/P-Sports,
2018/1/26,クリスタルVC発売日,セレビィ,https://www.pokemon.co.jp/ex/VCCR/,
2018/3/23,名探偵ピカチュウ発売日,ピカチュウ,https://www.pokemon.co.jp/ex/meitantei_pikachu/,
2018/5/30,ポケモンクエスト発売日,,https://www.pokemon.co.jp/ex/pokemonquest/,
2018/7/13,みんなの物語上映開始日,ゼラオラ,https://www.pokemon-movie.jp/history/history2018/,
2018/11/16,ピカブイ発売日,イーブイ,https://www.pokemon.co.jp/ex/pika_vee/,
2018/11/21,イーブイの日,イーブイ,https://www.pokemon.jp/special/project_eevee/1121day/,記念日
2018/12/7,スマブラSP発売日,ガオガエン,https://www.smashbros.com/ja_JP/,
2018/12/20,ポケふたはじまりの日,イーブイ,https://local.pokemon.jp/manhole/,
2019/1/21,キッズTV開設日,,https://www.youtube.com/@pokemonkidstvJP,
2019/5/3,名探偵ピカチュウ上映開始日,メタモン,https://meitantei-pikachu.jp,
2019/7/12,逆襲EVOLUTION上映開始日,ミュウツー,https://www.pokemon-movie.jp/history/history2019/,
2019/8/29,ポケマス配信開始日,ルガルガン(まよなかのすがた),https://pokemonmasters-game.com/ja-JP,
2019/9/20,Switchライト発売日,,https://www.nintendo.co.jp/hardware/detail/switch-lite/,
2019/11/15,剣盾発売日,エースバーン,https://www.pokemon.co.jp/ex/sword_shield/,
2020/2/12,ポケモンHOME配信開始日,ビビヨン,https://www.pokemon.co.jp/ex/pokemonhome/,
